"Тип конструкции","Материал","Дефекты","Рекомендации"
"Фундамент","Ленточные каменные","Отдельные глубокие трещины","Укрепление кладки фундамента местами"
"Фундамент","Ленточные каменные","Следы увлажнения цоколя и стен","Ремонт горизонтальной изоляции фундамента"
"Фундамент","Ленточные каменные","Выпучивание полов и стен подвала","Устройство горизонтальных поясов жесткости"
"Фундамент","Ленточные каменные","Неравномерная осадка фундамента","Укрепление кладки фундамента местами"
"Фундамент","Ленточные каменные","Выпучивание и заметное искривление цоколя","Усиление или замена отдельных участков фундамента"
"Фундамент","Ленточные каменные","Мелкие трещины в цоколе и под окнами первого этажа","Укрепление кладки фундамента местами"
"Фундамент","Ленточные каменные","Значительное выпирание грунта и разрушение стен подвала","Полная замена фундаментов"
"Фундамент","Ленточные каменные","Сквозные трещины в цоколе, с развитием на всю высоту здания","Усиление или замена отдельных участков фундамента"
"Фундамент","Ленточные каменные","Массовые прогрессирующие сквозные трещины на всю высоту здания","Полная замена фундаментов"
"Фундамент","Ленточные крупноблочные","Мелкие трещины в цоколе","Затирка трещин в цоколе"
"Фундамент","Ленточные крупноблочные","Выпирание грунта в подвале","Полная замена фундаментов"
"Фундамент","Ленточные крупноблочные","Трещины в швах между блоками","Заполнение швов между блоками."
"Фундамент","Ленточные крупноблочные","Высолы и следы увлажнения стен подвала","Ремонт штукатурки стен подвала. Ремонт вертикальной и горизонтальной гидроизоляции и отмостки."
"Фундамент","Ленточные крупноблочные","Следы увлажнения цоколя и стен подвала","Восстановление вертикальной и горизонтальной гидроизоляции фундамента"
"Фундамент","Ленточные крупноблочные","Массовые повреждения и разрушение блоков","Полная замена фундаментов"
"Фундамент","Ленточные крупноблочные","Выщелачивание раствора из швов между блоками","Заделка швов между блоками"
"Фундамент","Ленточные крупноблочные","Местные нарушения штукатурного слоя цоколя и стен","Ремонт штукатурного слоя цоколя и стен"
"Фундамент","Ленточные крупноблочные","Трещины, частичное разрушение блоков (до арматуры)","Заделка трещин и разрушенных блоков. Усиление фундаментов местами."
"Фундамент","Ленточные крупноблочные","Прогрессирующие сквозные трещины на всю высоту здания","Полная замена фундаментов"
"Фундамент","Столбчатые деревянные с забиркой","Неравномерная осадка фундамента","Замена столбов и забирки с вывешиванием стен"
"Фундамент","Столбчатые деревянные с забиркой","Осадка отдельных участков здания","Замена столбов и забирки с вывешиванием стен"
"Фундамент","Столбчатые деревянные с забиркой","Обрастание мхом нижней части забирки","Полная замена забирки"
"Фундамент","Столбчатые деревянные с забиркой","Искривление горизонтальной линии стен","Замена столбов и забирки с вывешиванием стен"
"Фундамент","Столбчатые деревянные с забиркой","Искривление горизонтальных линий цоколя","Переборка досок забирки"
"Фундамент","Столбчатые деревянные с забиркой","Мелкие повреждения верхней части столбов","Ремонт оголовков столбов"
"Фундамент","Столбчатые деревянные с забиркой","Искривление забирки и повреждение отдельных досок забирки","Переборка досок забирки"
"Фундамент","Столбчатые деревянные с забиркой","Разрушение отделочного слоя цоколя, ослабление врубок","Укрепление врубок, восстановление отделки"
"Фундамент","Столбчатые деревянные с забиркой","Поражение забирки гнилью, коробление и отставание досок","Полная замена забирки, ремонт оголовков столбов"
"Фундамент","Столбчатые деревянные с забиркой","Поражение гнилью, жучком, частичные разрушения забирки и столбов","Замена столбов и забирки с вывешиванием стен"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Трещины, сколы в надземной части столбов","Ремонт верхней части фундаментных столбов"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Трещины в цоколе","Расшивка и заделка трещин в цоколе"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Перекосы в цоколе","Замена цоколя"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Выпучивание цоколя","Замена цоколя"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Полное разрушение цоколя","Полная замена цоколя с вывешиванием стен"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Осадка отдельных участков","Полная замена фундамента и цоколя с вывешиванием стен"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Перекосы оконных и дверных проемов","Полная замена фундамента и цоколя с вывешиванием стен"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Мелкие повреждения цокольной части","Расшивка трещин, заделка выбоин в цокольной части"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Искривление горизонтальных линий стен","Полная замена фундамента и цоколя с вывешиванием стен"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Нарушение монолитности кладки столбов","Полная замена фундамента и цоколя с вывешиванием стен"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Сколы и выпадение камней в надземной части столбов","Ремонт верхней части фундаментных столбов"
"Фундамент","Cтолбчатые каменные с кирпичным цоколем","Выпадение отдельных камней в надземной части цоколя и фундаментных столбов","ремонт кладки цоколя и надземной части фундаментных столбов"
"Фундамент","Cвайные столбчатые каменные, бетонные и железобетонные","Разрушение цоколя","Полная замена цоколя"
"Фундамент","Cвайные столбчатые каменные, бетонные и железобетонные","Сквозные трещины в цоколе","Усиление фундаментов"
"Фундамент","Cвайные столбчатые каменные, бетонные и железобетонные","Развитие деформаций фундаментов","Полная замена фундамента"
"Фундамент","Cвайные столбчатые каменные, бетонные и железобетонные","Трещины в цокольной части здания","Затирка трещин в цокольной части здания"
"Фундамент","Cвайные столбчатые каменные, бетонные и железобетонные","Развитие сквозных трещин в стенах здания","Полная замена фундамента"
"Фундамент","Cвайные столбчатые каменные, бетонные и железобетонные","Искривление и значительная осадка отдельных участков стен","Усиление фундаментов и стен"
"Фундамент","Cвайные столбчатые каменные, бетонные и железобетонные","Искривление горизонтальных линий цоколя без признаков увеличения осадочных деформаций","Затирка трещин, устранение повреждений отделочного слоя цоколя"
